x,kde_density
0.0,0.0329046231958144
1.0,0.03295295345437454
2.0,0.03274225738159425
3.0,0.032280430729203564
4.0,0.03158141554034179
5.0,0.03066457520276326
6.0,0.02955386328690966
7.0,0.028276835257399775
8.0,0.026863559362126213
9.0,0.02534548610646052
10.0,0.02375433467346962
11.0,0.022121049770453653
12.0,0.020474874288881787
13.0,0.0188425727091606
14.0,0.017247828347647768
15.0,0.01571082534682188
16.0,0.014248014701059176
17.0,0.012872053393073696
18.0,0.01159189748578072
19.0,0.010413024127887013
20.0,0.009337754001916105
21.0,0.008365644660907182
22.0,0.007493926173215281
23.0,0.0067179531047158805
24.0,0.006031650627345058
25.0,0.005427936955032545
26.0,0.004899108914688891
27.0,0.004437181879283006
28.0,0.0040341792392977515
29.0,0.0036823698915604956
30.0,0.0033744548052748874
31.0,0.0031037055941944072
32.0,0.002864059255005085
33.0,0.002650173937868706
34.0,0.002457450923923258
35.0,0.0022820280201042743
36.0,0.0021207494488223347
37.0,0.0019711170865550688
38.0,0.0018312276396119846
39.0,0.0016997000588181807
40.0,0.0015755971887744993
41.0,0.0014583453104763525
42.0,0.0013476548532068548
43.0,0.0012434451108535027
44.0,0.001145775295727252
45.0,0.0010547837073799882
46.0,0.0009706362039029709
47.0,0.0008934845669900895
48.0,0.0008234347833178854
49.0,0.0007605247579991581
50.0,0.000704710561636212
51.0,0.0006558600136108598
52.0,0.0006137522327975
53.0,0.0005780817429436827
54.0,0.0005484657918137818
55.0,0.0005244537090074623
56.0,0.0005055373580260643
57.0,0.0004911620007906704
58.0,0.00048073715456031747
59.0,0.0004736472527838465
60.0,0.0004692621000820279
61.0,0.00046694722305979275
62.0,0.00046607425819539326
63.0,0.00046603149008462956
64.0,0.00046623457028014206
65.0,0.00046613732725887954
66.0,0.00046524244344493533
67.0,0.00046311164805474116
68.0,0.00045937497505961467
69.0,0.00045373857965466425
70.0,0.0004459906041710404
