x,kde_density
0.0,0.010644990236083458
1.0,0.011022286528968172
2.0,0.01139248639581015
3.0,0.011754742566374323
4.0,0.012108271508263916
5.0,0.012452348295887674
6.0,0.012786299385275297
7.0,0.013109493587275057
8.0,0.01342133160515471
9.0,0.013721234565675769
10.0,0.01400863202261028
11.0,0.014282949946090575
12.0,0.014543599228284007
13.0,0.014789965234408294
14.0,0.015021398907447265
15.0,0.015237209895189016
16.0,0.015436662110224042
17.0,0.01561897205886011
18.0,0.015783310185776517
19.0,0.015928805380512397
20.0,0.016054552682954824
21.0,0.016159624111657216
22.0,0.016243082425141313
23.0,0.016303997516489865
24.0,0.016341465039643007
25.0,0.016354626775756748
26.0,0.01634269217327993
27.0,0.016304960439021014
28.0,0.016240842521713907
29.0,0.01614988231598246
30.0,0.016031776423840516
31.0,0.01588639184275718
32.0,0.01571378100280941
33.0,0.015514193648634798
34.0,0.015288085152137145
35.0,0.01503612094588527
36.0,0.01475917688107679
37.0,0.014458335433659587
38.0,0.014134877803393389
39.0,0.013790272068978319
40.0,0.013426157673753792
41.0,0.013044326617104507
42.0,0.012646701813337411
43.0,0.012235313149768322
44.0,0.011812271827144607
45.0,0.011379743597179885
46.0,0.010939921523514199
47.0,0.010494998884246173
48.0,0.010047142807451797
49.0,0.009598469187576935
50.0,0.009151019372599099
51.0,0.008706739042129073
52.0,0.008267459618188915
53.0,0.007834882466425252
54.0,0.007410566059155689
55.0,0.006995916185953082
56.0,0.006592179215240204
57.0,0.006200438334066367
58.0,0.005821612624921122
59.0,0.005456458779699181
60.0,0.005105575202877584
61.0,0.004769408219215953
62.0,0.004448260075994463
63.0,0.004142298415685953
64.0,0.00385156689135742
65.0,0.0035759966030497266
66.0,0.0033154180476820667
67.0,0.0030695732962991236
68.0,0.002838128139257697
69.0,0.002620683970748912
70.0,0.0024167892174203343
