x,kde_density
0.0,0.016342302667099858
1.0,0.016596259826013957
2.0,0.01681040736893417
3.0,0.016984184769124083
4.0,0.01711742830024346
5.0,0.01721036269563385
6.0,0.017263585818591755
7.0,0.01727804681203582
8.0,0.0172550183597174
9.0,0.017196063834685537
10.0,0.01710300022963345
11.0,0.016977857854466955
12.0,0.016822837846408
13.0,0.01664026856575694
14.0,0.016432561945808416
15.0,0.01620217082920674
16.0,0.0159515482571974
17.0,0.01568310958571122
18.0,0.015399198186818518
19.0,0.015102055360302678
20.0,0.01479379493293248
21.0,0.014476382867772534
22.0,0.014151622047976481
23.0,0.013821142244260511
24.0,0.013486395127665354
25.0,0.0131486540538109
26.0,0.01280901822553743
27.0,0.01246842074075913
28.0,0.01212763995386086
29.0,0.011787313523481089
30.0,0.011447954487580705
31.0,0.01110996869797733
32.0,0.0107736729598634
33.0,0.010439313255356224
34.0,0.010107082481337586
35.0,0.009777137197747206
36.0,0.009449612959757015
37.0,0.009124637892343641
38.0,0.008802344255114307
39.0,0.008482877835340566
40.0,0.008166405094761473
41.0,0.007853118077910953
42.0,0.0075432371640137864
43.0,0.007237011808894461
44.0,0.006934719476398137
45.0,0.006636662999646497
46.0,0.006343166640697323
47.0,0.0060545711330223404
48.0,0.0057712279953075814
49.0,0.0054934933984572875
50.0,0.005221721851712695
51.0,0.004956259950081448
52.0,0.0046974403955587635
53.0,0.004445576470709653
54.0,0.004200957106854825
55.0,0.0039638426520375745
56.0,0.0037344614076676944
57.0,0.0035130069685497802
58.0,0.0032996363699754386
59.0,0.0030944690184945742
60.0,0.0028975863604208444
61.0,0.0027090322243452053
62.0,0.0025288137609704078
63.0,0.0023569028952653975
64.0,0.0021932382019230778
65.0,0.0020377271149040785
66.0,0.0018902483848826067
67.0,0.0017506547040432605
68.0,0.0016187754252571058
69.0,0.0014944193115553775
70.0,0.001377377261427218
