x,kde_density
0.0,0.01504620536648757
1.0,0.015145862552924256
2.0,0.015216505001273474
3.0,0.015258065561007355
4.0,0.015270670792403629
5.0,0.015254637910967485
6.0,0.015210469585181496
7.0,0.015138846682496314
8.0,0.015040619090323861
9.0,0.014916794767902274
10.0,0.014768527210698662
11.0,0.01459710153102215
12.0,0.014403919376343
13.0,0.014190482920182624
14.0,0.013958378169169013
15.0,0.013709257833887755
16.0,0.01344482401054621
17.0,0.013166810915360413
18.0,0.012876967904219806
19.0,0.012577042996934141
20.0,0.0122687671086309
21.0,0.01195383917113368
22.0,0.011633912304956018
23.0,0.011310581178441787
24.0,0.010985370665172174
25.0,0.010659725884620767
26.0,0.01033500368475015
27.0,0.010012465599352547
28.0,0.009693272287956864
29.0,0.009378479442512631
30.0,0.009069035123217647
31.0,0.008765778466120165
32.0,0.00846943968776111
33.0,0.008180641297319777
34.0,0.007899900414611803
35.0,0.00762763208290683
36.0,0.0073641534588698935
37.0,0.007109688757907978
38.0,0.006864374831682654
39.0,0.006628267255355367
40.0,0.006401346805039271
41.0,0.006183526210691679
42.0,0.005974657076022343
43.0,0.005774536864632453
44.0,0.005582915860246593
45.0,0.005399504018276697
46.0,0.005223977635786083
47.0,0.005055985776952785
48.0,0.00489515640112944
49.0,0.004741102150356351
50.0,0.004593425762531264
51.0,0.004451725085221771
52.0,0.004315597673217909
53.0,0.004184644960271342
54.0,0.004058476002007159
55.0,0.003936710792695443
56.0,0.0038189831634320996
57.0,0.003704943273325901
58.0,0.003594259708560456
59.0,0.003486621206751357
60.0,0.0033817380259192507
61.0,0.0032793429787220307
62.0,0.003179192153415745
63.0,0.0030810653434233653
64.0,0.0029847662074629013
65.0,0.0028901221819984018
66.0,0.002796984167396328
67.0,0.002705226008658363
68.0,0.0026147437910130095
69.0,0.002525454970024511
70.0,0.0024372973552540026
